Notes  
"The New York State calculation method was first adopted for the Cohort of 2001 (Class of 2005).  The cohort consists of all students who first entered 9th grade in a given school year (e.g., the Cohort of 2006 entered 9th grade in the 2006-2007 school year).  Graduates are defined as those students earning either a Local or Regents diploma. "
,
"In order to comply with FERPA regulations on public reporting of education outcomes, rows with cohorts of fewer than 10 students are suppressed."
"4 Year August outcomes are available since the 2004 cohort at the citywide level and since 2005 at the borough, district and school levels. 5 Year August outcomes are available since 2006. Cells are blank when data is not available."
"Charter schools are not included in NYSED's overall rate for NYC and, so, are not included here."
"For cohorts 2001 to 2006, District 79 was pulled out as a separate borough and district in those spreadsheets. Since 2007, D79 students are included in their geographic district and borough. School level results are shown for D1-D32 only.  "
"Prior to 2007, out of district placement students were not included in district results. "
"Beginning with the 2011 graduation cohort, the IEP Diploma was replaced by two credentials which are only available to students with IEPs. The Skills & Achievement Commencement Credential (SACC) is a certificate available only to students with severe cognitive disabilities who are eligible to take the NYSAA and have attended school for not less than 12 years, excluding Kindergarten. The Career Development and Occupational Studies (CDOS) Commencement Credential, which indicates that the student has the knowledge and skills necessary for entry level employment. It is available to students with IEPs who participate in standard assessment as either an endorsement to a diploma or a standalone exit certificate."
"As of January 1, 2014, the GED test is no longer offered in New York State. The GED has been replaced by the TASC (Test Assessing Secondary Completion) exam which will continue to lead students to a High School Equivalency (HSE) Diploma."
"In order to match NYSED's reporting, there are some instances where 'Total Regents' plus 'Local Dipomas' does not equal 'Total Grads' for 2001-2005."
"Because citywide, district and borough graduation cohorts include students in out of district placements, the total cohorts in these spreadsheets will not equal the total cohorts in the school-level spreadsheets."

,
,
New York City Department of Education,,,,,,,,,,,,,,,,,,,,,,,,,,
Graduation Rate Report,,,,,,,,,,,,,,,,,,,,,,,,,,
District Graduation Rate,,,,,,,,,,,,,,,,,,,,,,,,,,
All Students,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cohort,Total Grads,,Total Regents,,,Advanced Regents,,,Regents without Advanced,,,Local,,,Still Enrolled,,Dropout,,SACC (IEP Diploma),,TASC (GED),
District,Category,Cohort Year,Cohort,#,#,% of cohort,#,% of cohort,% of grads,#,% of cohort,% of grads,#,% of cohort,% of grads,#,% of cohort,% of grads,#,% of cohort,#,% of cohort,#,% of cohort,#,% of cohort
1,All Students,2012,4 year August,1069,651,60.9,640,59.9,98.3,229,21.4,35.2,411,38.4,63.1,11,1.0,1.7,258,24.1,149,13.9,7,0.7,3,0.3
1,All Students,2011,4 year August,1128,665,59.0,635,56.3,95.5,166,14.7,25.0,469,41.6,70.5,30,2.7,4.5,303,26.9,143,12.7,10,0.9,5,0.4
1,All Students,2010,4 year August,1104,590,53.4,564,51.1,95.6,127,11.5,21.5,437,39.6,74.1,26,2.4,4.4,308,27.9,197,17.8,2,0.2,5,0.5
1,All Students,2009,4 year August,1080,597,55.3,569,52.7,95.3,154,14.3,25.8,415,38.4,69.5,28,2.6,4.7,283,26.2,189,17.5,2,0.2,8,0.7
1,All Students,2008,4 year August,1128,685,60.7,661,58.6,96.5,187,16.6,27.3,474,42.0,69.2,24,2.1,3.5,246,21.8,172,15.2,12,1.1,12,1.1
1,All Students,2007,4 year August,1069,646,60.4,559,52.3,86.5,155,14.5,24.0,404,37.8,62.5,87,8.1,13.5,244,22.8,147,13.8,15,1.4,16,1.5
1,All Students,2006,4 year August,905,563,62.2,498,55.0,88.5,126,13.9,22.4,372,41.1,66.1,65,7.2,11.5,211,23.3,102,11.3,15,1.7,14,1.5
