DBN,ATTN_DATE_YMD,ATTN_PCT,LOC_CODE,SCHOOL_NAME,Borough,DistrictCode
01M015,20171122,85.49,M015,P.S. 015 ROBERTO CLEMENTE,M,1
01M019,20171122,85.32,M019,P.S. 019 ASHER LEVY,M,1
01M020,20171122,91.18,M020,P.S. 020 ANNA SILVER,M,1
01M034,20171122,87.57,M034,P.S. 034 FRANKLIN D. ROOSEVELT,M,1
01M063,20171122,87.56,M063,THE STAR ACADEMY P.S.63,M,1
01M064,20171122,85.36,M064,P.S. 064 ROBERT SIMON,M,1
01M110,20171122,89.7,M110,P.S. 110 FLORENCE NIGHTINGALE,M,1
01M134,20171122,85.9,M134,P.S. 134 HENRIETTA SZOLD,M,1
01M140,20171122,83.42,M140,P.S. 140 NATHAN STRAUS,M,1
01M142,20171122,89.97,M142,P.S. 142 AMALIA CASTRO,M,1
01M184,20171122,94.6,M184,P.S. 184M SHUANG WEN,M,1
01M188,20171122,84.77,M188,P.S. 188 THE ISLAND SCHOOL,M,1
01M292,20171122,76.78,M292,ORCHARD COLLEGIATE ACADEMY,M,1
01M301,20171122,67.92,M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",M,1
01M315,20171122,82.81,M315,THE EAST VILLAGE COMMUNITY SCHOOL,M,1
01M332,20171122,88.29,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,M,1
01M361,20171122,81.64,M361,THE CHILDREN S WORKSHOP SCHOOL,M,1
01M363,20171122,79.27,M363,NEIGHBORHOOD SCHOOL,M,1
01M364,20171122,81.51,M364,EARTH SCHOOL,M,1
01M378,20171122,78.34,M378,SCHOOL FOR GLOBAL LEADERS,M,1
01M448,20171122,60.52,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,M,1
01M450,20171122,88.7,M450,EAST SIDE COMMUNITY SCHOOL,M,1
01M458,20171122,29.95,M458,FORSYTH SATELLITE ACADEMY,M,1
01M509,20171122,75.34,M509,MARTA VALLE HIGH SCHOOL,M,1
01M515,20171122,72.66,M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,M,1
