,DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,,ATTN_PCT,LOC_CODE,Borough,DistrictCode
0,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,1122,76.78,M292,M,1
1,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,1172,60.52,M448,M,1
2,01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,1149,88.7,M450,M,1
3,01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,1174,29.95,M458,M,1
4,01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,1207,75.34,M509,M,1
5,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316,1205,72.66,M515,M,1
6,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,89.49,M539,M,1
7,01M650,CASCADES HIGH SCHOOL,18,417,418,411,1246,36.09,M650,M,1
8,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,1856,96.42,M696,M,1
9,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,1182,79.14,M047,M,2
10,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392,1194,67.81,M288,M,2
11,02M294,ESSEX STREET ACADEMY,53,394,384,378,1156,61.69,M294,M,2
12,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362,1111,68.46,M296,M,2
13,02M298,PACE HIGH SCHOOL,85,423,438,432,1293,80.07,M298,M,2
14,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,62.84,M300,M,2
15,02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340,1051,66.84,M303,M,2
16,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,77.45,M305,M,2
17,02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,1200,73.25,M308,M,2
18,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,1188,49.61,M313,M,2
19,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,1127,59.48,M316,M,2
20,02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394,1176,72.91,M374,M,2
21,02M376,NYC ISCHOOL,92,473,483,479,1435,89.67,M376,M,2
,,,,,,,,,,,
,,,,,,,,,,,
24,02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357,1188,89.96,M394,M,2
,,,,,,,,,,,
26,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461,1419,74.71,M400,M,2
27,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467,1424,85.77,M407,M,2
28,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523,1522,80.53,M408,M,2
29,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518,1577,93.69,M411,M,2
30,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550,1677,88.3,M412,M,2
31,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515,1565,90.69,M413,M,2
32,02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459,1419,84.59,M414,M,2
33,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592,1758,94.07,M416,M,2
34,02M418,MILLENNIUM HIGH SCHOOL,144,528,553,533,1614,95.71,M418,M,2
35,02M419,LANDMARK HIGH SCHOOL,62,390,399,381,1170,81.45,M419,M,2
36,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428,1306,83.95,M420,M,2
37,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391,1233,68.52,M425,M,2
,,,,,,,,,,,
39,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349,1062,,,,
,,,,,,,,,,,
,,,,,,,,,,,
42,02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458,1372,98.68,M439,M,2
43,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368,1111,,,,
44,02M449,VANGUARD HIGH SCHOOL,72,395,416,388,1199,72.58,M449,M,2
45,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391,1227,82,M459,M,2
46,02M460,WASHINGTON IRVING HIGH SCHOOL,151,373,387,360,1120,,,,
,,,,,,,,,,,
48,02M475,STUYVESANT HIGH SCHOOL,832,679,735,682,2096,96.75,M475,M,2
49,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442,1374,83.65,M489,M,2
50,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351,1070,71.55,M500,M,2
51,02M519,TALENT UNLIMITED HIGH SCHOOL,81,469,472,475,1416,86.58,M519,M,2
52,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,1240,-1,M520,M,2
53,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400,1239,55.88,M529,M,2
54,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420,1253,79.33,M531,M,2
55,02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344,1058,87.95,M542,M,2
56,02M543,NEW DESIGN HIGH SCHOOL,73,391,395,382,1168,70.56,M543,M,2
57,02M544,INDEPENDENCE HIGH SCHOOL,14,389,371,335,1095,38.01,M544,M,2
58,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431,1424,99.74,M545,M,2
59,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,436,352,1156,83.33,M550,M,2
60,02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384,1212,80.52,M551,M,2
61,02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,56,498,440,477,1415,-1,M560,M,2
62,02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512,1547,-1,M565,M,2
63,02M570,SATELLITE ACADEMY HIGH SCHOOL,33,350,337,345,1032,46.93,M570,M,2
64,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121,345,517,343,1205,46.27,M575,M,2
65,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,408,384,403,1195,78.98,M580,M,2
66,02M586,HARVEY MILK HIGH SCHOOL,9,458,416,429,1303,54.54,M586,M,2
67,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,423,411,1257,78.65,M600,M,2
68,02M605,HUMANITIES PREPARATORY ACADEMY,36,426,403,426,1255,80.42,M605,M,2
69,02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,418,390,1207,74.71,M615,M,2
70,02M620,NORMAN THOMAS HIGH SCHOOL,154,370,379,359,1108,,,,
71,02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191,395,382,376,1153,,,,
72,02M630,ART AND DESIGN HIGH SCHOOL,270,444,441,430,1315,83.02,M630,M,2
73,02M655,LIFE SCIENCES SECONDARY SCHOOL,61,409,424,403,1236,61.01,M655,M,2
74,03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,27,406,379,408,1193,,,,
75,03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,374,1132,72.77,M299,M,3
76,03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370,1144,54.2,M307,M,3
,,,,,,,,,,,
,,,,,,,,,,,
79,03M404,INNOVATION DIPLOMA PLUS,12,416,403,381,1200,36.5,M404,M,3
80,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,368,370,1109,79.34,M415,M,3
,,,,,,,,,,,
82,03M470,LOUIS D. BRANDEIS HIGH SCHOOL,131,370,390,358,1118,,,,
83,03M479,BEACON HIGH SCHOOL,261,577,575,592,1744,92.75,M479,M,3
84,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,564,577,1707,89.81,M485,M,3
