DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat,zip_code
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,1122,10002
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,1172,10002
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,1149,10009
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,1174,10002
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,1207,10002
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316,1205,10002
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,10002
01M650,CASCADES HIGH SCHOOL,18,417,418,411,1246,10002
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,1856,10002
02M298,PACE HIGH SCHOOL,85,423,438,432,1293,10002
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,10002
,,,,,,,
,,,,,,,
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,356,302,962,10468
10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,649,1969,10468
10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,410,1255,10468
,,,,,,,
,,,,,,,
25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395,1243,11354
25Q460,FLUSHING HIGH SCHOOL,347,393,441,382,1216,11354
25Q467,FLUSHING YABC,9,378,373,344,1095,11354
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638,1910,11354
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388,1168,11354
,,,,,,,
31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466,1426,10301
31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,417,1279,10301
31R450,CURTIS HIGH SCHOOL,375,437,435,429,1301,10301
31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459,1388,10301
31R470,CONCORD HIGH SCHOOL,10,466,455,414,1335,10301
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397,1235,10301
,,,,,,,
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,396,1215,11211
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350,1090,11211
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,385,364,1112,11211
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,380,1187,11211
